label,x,y,score,class,year,citations,title,doi
Frederick L. Ferris et al. (1982),-2536.088,7599.893,0,0,1982,2114,New Visual Acuity Charts for Clinical Research,10.1016/0002-9394(82)90197-0
Pavel Hamet & Johanne Tremblay (2017),3878.284,1804.444,0,5,2017,2192,Artificial intelligence in medicine,10.1016/j.metabol.2017.01.011
Norbert Wiener (2019),6191.756,-895.755,0,5,2019,4984,Cybernetics or Control and Communication in the Animal and the Machine,10.7551/mitpress/11810.001.0001
A. Rosenblueth et al. (1943),5721.879,-1697.468,0,5,1943,1527,"Behavior, Purpose and Teleology",10.1086/286788
Dmitry N. Ermakov & Norbert Wiener (1949),6386.19,-1797.368,0,5,1949,3644,Cybernetics. Or Control and Communication in the Animal and the Machine,10.2307/2020260
Hiroaki Kitano (2002),6966.881,-437.137,0,5,2002,2227,Computational systems biology,10.1038/nature01254
Michael B. Elowitz & Stanislas Leibler (2000),8097.826,-3193.104,0.017,1,2000,4706,A synthetic oscillatory network of transcriptional regulators,10.1038/35002125
Avigdor Eldar & Michael B. Elowitz (2010),8629.58,-4704.092,0.008,1,2010,1523,Functional roles for noise in genetic circuits,10.1038/nature09326
J. Robert Newman et al. (2006),8873.77,-4942.699,0.002,1,2006,1550,Single-cell proteomic analysis of S. cerevisiae reveals the architecture of biological noise,10.1038/nature04785
Andriy Marusyk et al. (2012),7419.999,-4657.493,0,1,2012,1991,Intra-tumour heterogeneity: a looking glass for cancer?,10.1038/nrc3261
Ana C. Garrido-Castro et al. (2019),5364.122,-4686.754,0.002,1,2019,1374,Insights into Molecular Classifications of Triple-Negative Breast Cancer: Improving Patient Selection for Treatment,10.1158/2159-8290.cd-18-1177
Brian D. Lehmann et al. (2011),4447.125,-4533.059,0.001,1,2011,5338,Identification of human triple-negative breast cancer subtypes and preclinical models for selection of targeted therapies,10.1172/jci45014
Zhiyuan Hu et al. (2006),3571.751,-4410.129,0.002,1,2006,1446,The molecular portraits of breast tumors are conserved across microarray platforms,10.1186/1471-2164-7-96
Peter C. Nowell̀ (1976),7450.964,-3822.558,0,1,1976,6461,The Clonal Evolution of Tumor Cell Populations,10.1126/science.959840
Iñigo Martincorena et al. (2015),7028.493,-2490.432,0.011,1,2015,1787,High burden and pervasive positive selection of somatic mutations in normal human skin,10.1126/science.aaa6806
Peter S. Swain et al. (2002),8690.596,-4794.528,0.007,1,2002,1731,Intrinsic and extrinsic contributions to stochasticity in gene expression,10.1073/pnas.162041399
Mukund Thattai & Alexander van Oudenaarden (2001),8706.633,-4845.502,0,1,2001,1507,Intrinsic noise in gene regulatory networks,10.1073/pnas.151588598
Ertuğrul M. Özbudak et al. (2002),8777.855,-4887.571,0,1,2002,1623,Regulation of noise in the expression of a single gene,10.1038/ng869
Jonathan M. Raser & Erin K. O’Shea (2005),8741.498,-4833.761,0,1,2005,1798,"Noise in Gene Expression: Origins, Consequences, and Control",10.1126/science.1105891
Michael B. Elowitz et al. (2002),8426.869,-4542.427,0.016,1,2002,5619,Stochastic Gene Expression in a Single Cell,10.1126/science.1070919
Erik Gullberg et al. (2011),8703.773,-4745.563,0,1,2011,1637,Selection of Resistant Bacteria at Very Low Antibiotic Concentrations,10.1371/journal.ppat.1002158
Holger A. Haenssle et al. (2018),-1573.163,2013.13,0,0,2018,1486,Man against machine: diagnostic performance of a deep learning convolutional neural network for dermoscopic melanoma recognition in comparison to 58 dermatologists,10.1093/annonc/mdy166
Kurt VanLehn (2011),4584.757,5731.194,0,3,2011,1796,"The Relative Effectiveness of Human Tutoring, Intelligent Tutoring Systems, and Other Tutoring Systems",10.1080/00461520.2011.611369
Benjamin S. Bloom (1984),5569.116,6176.033,0,3,1984,2366,The 2 Sigma Problem: The Search for Methods of Group Instruction as Effective as One-to-One Tutoring,10.3102/0013189x013006004
Randy Elliot Bennett (2011),6577.808,7244.591,0,3,2011,1379,Formative assessment: a critical review,10.1080/0969594x.2010.513678
D. Royce Sadler (1989),7272.352,7651.627,0,3,1989,4028,Formative assessment and the design of instructional systems,10.1007/bf00117714
David Nicol & Debra Macfarlane‐Dick (2006),7866.521,7580.404,0,3,2006,5263,Formative assessment and self‐regulated learning: a model and seven principles of good feedback practice,10.1080/03075070600572090
Gerald Tesauro (1995),112.253,3526.877,0.002,0,1995,1471,Temporal difference learning and TD-Gammon,10.1145/203330.203343
Ming Tan (1993),1774.998,3671.782,0,0,1993,1799,Multi-Agent Reinforcement Learning: Independent vs. Cooperative Agents,10.1016/b978-1-55860-307-3.50049-6
Jennifer R. Kwapisz et al. (2011),2746.963,-204.654,0,1,2011,2800,Activity recognition using cell phone accelerometers,10.1145/1964897.1964918
Harry Zhang (2004),2246.06,-1858.309,0,1,2004,1400,The Optimality of Naive Bayes.,
Jindong Wang et al. (2018),-1452.664,565.804,0,0,2018,1892,Deep learning for sensor-based activity recognition: A survey,10.1016/j.patrec.2018.02.010
Christophe Ambroise & Geoffrey J. McLachlan (2002),3262.706,-3021.669,0.024,1,2002,1444,Selection bias in gene extraction on the basis of microarray gene-expression data,10.1073/pnas.102102699
Franz J. Gießibl (2003),5825.019,-7915.617,0,4,2003,2173,Advances in atomic force microscopy,10.1103/revmodphys.75.949
Nicholas X. Fang et al. (2005),3996.034,-9518.59,0,4,2005,3921,Sub-Diffraction-Limited Optical Imaging with a Silver Superlens,10.1126/science.1108759
Zhaowei Liu et al. (2007),3125.5,-9906.225,0.001,4,2007,2145,Far-Field Optical Hyperlens Magnifying Sub-Diffraction-Limited Objects,10.1126/science.1137368
Nagatoshi Koumura et al. (1999),6019.957,-6515.929,0,4,1999,1889,Light-driven monodirectional molecular rotor,10.1038/43646
Wesley R. Browne & Ben L. Feringa (2006),5963.416,-5297.212,0.001,4,2006,1441,Making molecular machines work,10.1038/nnano.2006.45
Judy Pearsall (2010),4301.391,-1738.012,0,4,2010,1631,Oxford Dictionary of English,10.1093/acref/9780199571123.001.0001
Samuel H. Wilen et al. (1962),5829.794,-8713.954,0.002,4,1962,2599,Stereochemistry of Organic Compounds,
Jean Jacques et al. (1981),5924.819,-8932.416,0,4,1981,1716,"Enantiomers, Racemates, and Resolutions",
Peter Hänggi & Fabio Marchesoni (2009),6403.073,-5152.659,0.016,3,2009,1546,Artificial Brownian motors: Controlling transport on the nanoscale,10.1103/revmodphys.81.387
Mark D. McDonnell et al. (2008),4730.053,-6283.194,0,3,2008,2259,Stochastic Resonance,
Lotien Richard Huang et al. (2004),6685.314,-5461.156,0,3,2004,1593,Continuous Particle Separation Through Deterministic Lateral Displacement,10.1126/science.1094567
O. Wichterle & D. Lím (1960),7057.013,-8226.538,0,4,1960,2882,Hydrophilic Gels for Biological Use,10.1038/185117a0
Jianyu Li & David Mooney (2016),7184.908,-8400.548,0,4,2016,4313,Designing hydrogels for controlled drug delivery,10.1038/natrevmats.2016.71
Yanlei Yu et al. (2003),6444.28,-8580.371,0,4,2003,2134,Directed bending of a polymer film by light,10.1038/425145a
Timothy J. White & Dirk J. Broer (2015),6669.288,-9038.111,0,4,2015,1623,Programmable and adaptive mechanics with liquid crystal polymer networks and elastomers,10.1038/nmat4433
Jiuke Mu et al. (2018),6732.068,-9195.515,0,4,2018,1435,Molecular-channel driven actuator with considerations for multiple configurations and color switching,10.1038/s41467-018-03032-2
Jaronie Mohd Jani et al. (2013),7114.671,-6195.333,0,5,2013,3878,"A review of shape memory alloy research, applications and opportunities",10.1016/j.matdes.2013.11.084
Unknown (2011),7324.271,-6407.385,0,5,2011,2693,Materials Selection in Mechanical Design,10.1016/c2009-0-25539-5
Bo Egardt (1993),7001.532,-1469.324,0,2,1993,2717,"Adaptive control stability, convergence, and robustness",10.1016/0005-1098(93)90081-4
Billie F. Spencer & Satish Nagarajaiah (2003),6710.638,-1786.409,0,2,2003,1407,State of the Art of Structural Control,10.1061/(asce)0733-9445(2003)129:7(845)
Kumpati S. Narendra & K. Parthasarathy (1990),3492.253,210.747,0.007,0,1990,7979,Identification and control of dynamical systems using neural networks,10.1109/72.80202
Kumpati S. Narendra & Anuradha M. Annaswamy (1989),6511.917,-1707.481,0,0,1989,3982,Stable Adaptive Systems,
Norelys Aguila‐Camacho et al. (2014),8178.594,-1933.527,0,5,2014,1384,Lyapunov functions for fractional order systems,10.1016/j.cnsns.2014.01.022
Yan Li et al. (2009),9461.157,-2113.306,0,5,2009,1550,Stability of fractional-order nonlinear dynamic systems: Lyapunov direct method and generalized Mittag–Leffler stability,10.1016/j.camwa.2009.08.019
Hyo‐Sung Ahn et al. (2007),8227.892,-2035.271,0.005,5,2007,1564,Iterative Learning Control: Brief Survey and Categorization,10.1109/tsmcc.2007.905759
Douglas A. Bristow et al. (2006),6498.51,-1397.482,0.007,5,2006,2904,A survey of iterative learning control,10.1109/mcs.2006.1636313
Jang‐Ung Park et al. (2007),6937.403,-1546.378,0,5,2007,1460,High-resolution electrohydrodynamic jet printing,10.1038/nmat1974
Stephen Kahne (1987),7510.446,-2462.346,0,5,1987,3471,Feedback control of dynamic systems,10.1016/0005-1098(87)90017-3
Yan Li et al. (2009),9655.219,-2119.46,0.003,5,2009,1567,Mittag–Leffler stability of fractional order nonlinear dynamic systems,10.1016/j.automatica.2009.04.003
Igor Podlubný (1999),9848.758,-2139.255,0.002,5,1999,3031,Fractional-order systems and PI/sup /spl lambda//D/sup /spl mu//-controllers,10.1109/9.739144
L.-X. Wang (1993),7075.565,-1091.138,0.033,2,1993,1606,Stable adaptive fuzzy control of nonlinear systems,10.1109/91.227383
Brian Armstrong-Hélouvry et al. (1994),8657.651,-3123.898,0.017,5,1994,2627,"A survey of models, analysis tools and compensation methods for the control of machines with friction",10.1016/0005-1098(94)90209-7
T. A. Harris & W. J. Crecelius (1986),8968.496,-3185.743,0,5,1986,1693,Rolling Bearing Analysis,10.1115/1.3261135
Béla Bollobás (2001),6568.467,713.523,0,3,2001,2567,Random Graphs,10.1017/cbo9780511814068
Jean-Jacques Slotine & Weiping Li (1991),7488.78,-1723.329,0.075,3,1991,18983,Applied Nonlinear Control,
Yong Feng et al. (2002),8786.477,-2410.833,0,3,2002,2226,Non-singular terminal sliding mode control of rigid manipulators,10.1016/s0005-1098(02)00147-4
Vadim Utkin (1992),9005.628,-3139.786,0.002,5,1992,6555,Sliding Modes in Control and Optimization,10.1007/978-3-642-84379-2
Vadim Utkin et al. (1999),9121.901,-3907.828,0,5,1999,1348,Sliding Mode Control in Electro-mechanical Systems,
Vadim Utkin (1993),8646.571,-4241.103,0.003,5,1993,1949,Sliding mode control design principles and applications to electric drives,10.1109/41.184818
Raymond A. DeCarlo et al. (1988),8922.056,-4058.462,0.007,5,1988,1805,Variable structure control of nonlinear multivariable systems: a tutorial,10.1109/5.4400
M. Corless & G. Leitmann (1981),9342.604,-3885.338,0,5,1981,1626,Continuous state feedback guaranteeing uniform ultimate boundedness for uncertain dynamic systems,10.1109/tac.1981.1102785
Wei-Bing Gao et al. (1995),9073.018,-4100.182,0,5,1995,1540,Discrete-time variable structure control systems,10.1109/41.370376
Arie Levant (1993),9083.88,-3822.576,0.003,5,1993,2981,Sliding order and sliding accuracy in sliding mode control,10.1080/00207179308923053
Yuri Shtessel et al. (2013),9154.914,-3792.391,0,5,2013,2699,Sliding Mode Control and Observation,10.1007/978-0-8176-4893-0
Arie Levant (1998),8898.831,-3524.02,0.002,5,1998,2210,Robust exact differentiation via sliding mode technique,10.1016/s0005-1098(97)00209-4
Vadim Utkin et al. (2010),9093.638,-3947.827,0,5,2010,3200,Sliding Mode Control in Electro-Mechanical Systems,10.1201/9781420065619
K.D. Young et al. (1999),8917.543,-3902.135,0.012,5,1999,2190,A control engineer's guide to sliding mode control,10.1109/87.761053
Andrey Polyakov (2011),10064.63,-3279.478,0,5,2011,4631,Nonlinear Feedback Design for Fixed-Time Stabilization of Linear Control Systems,10.1109/tac.2011.2179869
Sanjay P. Bhat & Dennis S. Bernstein (2000),10545.236,-3291.324,0,5,2000,5163,Finite-Time Stability of Continuous Autonomous Systems,10.1137/s0363012997321358
Sanjay P. Bhat & Dennis S. Bernstein (1998),10431.895,-3239.971,0.002,5,1998,1659,Continuous finite-time stabilization of the translational and rotational double integrators,10.1109/9.668834
Hua O. Wang et al. (1996),8445.524,-747.675,0.003,2,1996,2530,An approach to fuzzy control of nonlinear systems: stability and design issues,10.1109/91.481841
Kazuo Tanaka & Hua O. Wang (2008),8857.093,-639.435,0,2,2008,2452,Fuzzy Control Systems Design and Analysis: A Linear Matrix Inequality Approach,
Kazuo Tanaka & Michio Sugeno (1992),8318.64,-499.905,0.007,2,1992,2189,Stability analysis and design of fuzzy control systems,10.1016/0165-0114(92)90113-i
Michio Sugeno (1974),7809.628,-4.455,0.002,2,1974,2192,Theory of fuzzy integrals and its applications,
Michio Sugeno & Geon Kang (1988),7481.491,-262.062,0.002,2,1988,2690,Structure identification of fuzzy model,10.1016/0165-0114(88)90113-3
Kazuo Tanaka et al. (1998),8636.803,-612.594,0.008,2,1998,1619,Fuzzy regulators and fuzzy observers: relaxed stability conditions and LMI-based designs,10.1109/91.669023
Kevin M. Passino & Stephen Yurkovich (1997),8593.834,-461.26,0,2,1997,2092,Fuzzy Control,
Shuanghe Yu et al. (2005),8689.527,-2257.317,0,3,2005,2572,Continuous finite-time control for robotic manipulators with terminal sliding mode,10.1016/j.automatica.2005.07.001
Keng Peng Tee et al. (2009),7863.098,-1950.275,0,0,2009,2741,Barrier Lyapunov Functions for the control of output-constrained nonlinear systems,10.1016/j.automatica.2008.11.017
Frank L. Lewis et al. (2020),3112.311,1572.766,0.008,0,2020,1846,Neural Network Control Of Robot Manipulators And Non-Linear Systems,10.1201/9781003062714
Brian Stevens & Frank L. Lewis (2004),3398.392,2278.024,0,0,2004,3141,Aircraft Control and Simulation,10.1108/aeat.2004.12776eae.001
Kyriakos G. Vamvoudakis & Frank L. Lewis (2010),3383.603,1746.481,0.004,0,2010,1579,Online actor–critic algorithm to solve the continuous-time infinite horizon optimal control problem,10.1016/j.automatica.2010.02.018
Gang Tao (2003),3795.633,2021.39,0,0,2003,1426,Adaptive Control Design and Analysis,10.1002/0471459100
John Y. Hung et al. (1993),8699.588,-3825.675,0.008,5,1993,2886,Variable structure control: a survey,10.1109/41.184817
Arie Levant (2003),8659.229,-3618.489,0,5,2003,3673,"Higher-order sliding modes, differentiation and output-feedback control",10.1080/0020717031000099029
Danielle S. Bassett & Olaf Sporns (2017),5071.402,3902.597,0.003,3,2017,2321,Network neuroscience,10.1038/nn.4502
Michael L. Hines & Nicholas T. Carnevale (1997),3502.251,2539.226,0,3,1997,2745,The NEURON Simulation Environment,10.1162/neco.1997.9.6.1179
Mark Newman (2010),4198.551,2938.578,0,3,2010,7048,Networks: An Introduction,10.1093/acprof:oso/9780199206650.001.0001
Marta C. González et al. (2008),5704.96,1490.781,0.002,3,2008,5960,Understanding individual human mobility patterns,10.1038/nature06958
León Danon et al. (2005),5627.408,2097.409,0.001,3,2005,2840,Comparing community structure identification,10.1088/1742-5468/2005/09/p09008
Filippo Radicchi et al. (2004),5812.978,2234.688,0.006,3,2004,2413,Defining and identifying communities in networks,10.1073/pnas.0400054101
Nils Haug et al. (2020),6890.177,-632.908,0.002,1,2020,1430,Ranking the effectiveness of worldwide COVID-19 government interventions,10.1038/s41562-020-01009-0
Seth Flaxman et al. (2020),7191.364,-3240.586,0.002,1,2020,3733,Estimating the effects of non-pharmaceutical interventions on COVID-19 in Europe,10.1038/s41586-020-2405-7
Olaf Sporns & Richard F. Betzel (2015),4998.499,3223.401,0.002,3,2015,1451,Modular Brain Networks,10.1146/annurev-psych-122414-033634
Jörg Menche et al. (2015),6205.099,659.162,0.064,3,2015,1536,Uncovering disease-disease relationships through the incomplete interactome,10.1126/science.1257601
Anton J. Enright (2002),4804.957,-5178.415,0.004,1,2002,3707,An efficient algorithm for large-scale detection of protein families,10.1093/nar/30.7.1575
Calliope A. Dendrou et al. (2015),6609.232,755.359,0,3,2015,2153,Immunopathology of multiple sclerosis,10.1038/nri3871
F. Alexander Wolf et al. (2019),2810.062,-878.335,0.003,0,2019,1732,PAGA: graph abstraction reconciles clustering with trajectory inference through a topology preserving map of single cells,10.1186/s13059-019-1663-x
Laleh Haghverdi et al. (2016),2611.565,-2597.018,0.001,0,2016,1419,Diffusion pseudotime robustly reconstructs lineage branching,10.1038/nmeth.3971
Laleh Haghverdi et al. (2018),3078.265,-3056.161,0.011,0,2018,2618,Batch effects in single-cell RNA-sequencing data are corrected by matching mutual nearest neighbors,10.1038/nbt.4091
Yuhan Hao et al. (2023),1188.082,-3887.547,0,0,2023,3969,"Dictionary learning for integrative, multimodal and scalable single-cell analysis",10.1038/s41587-023-01767-y
Christoph Hafemeister & Rahul Satija (2019),2099.457,-3778.979,0,0,2019,4700,Normalization and variance stabilization of single-cell RNA-seq data using regularized negative binomial regression,10.1186/s13059-019-1874-1
Peter V. Kharchenko et al. (2014),2667.631,-2202.686,0,0,2014,1496,Bayesian approach to single-cell differential expression analysis,10.1038/nmeth.2967
Simon J. Sheather & M. C. Jones (1991),296.813,-5472.62,0,0,1991,2623,A Reliable Data-Based Bandwidth Selection Method for Kernel Density Estimation,10.1111/j.2517-6161.1991.tb01857.x
